UID        PID  PPID  C STIME TTY          TIME CMD
ryanliu9  3960  2947  0 19:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      3997     2  0 19:05 ?        00:00:02 [kworker/0:1]
root      4047     2  0 19:08 ?        00:00:00 [kworker/1:0]
ryanliu9  4083  2655  0 19:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
ryanliu9  4115  2655  0 19:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.6 /org/gtk/gvfs/exec_spaw/5
ryanliu9  4238  2655  0 19:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
root      4343     2  0 19:53 ?        00:00:00 [kworker/1:2]
ryanliu9  4413  3501  0 19:57 pts/1    00:00:00 bash
ryanliu9  4731  2655  3 20:34 ?        00:00:24 gedit /home/ryanliu9/Documents/CSE2431/Goatware/renameProcess.c
root      4761     2  0 20:35 ?        00:00:00 [kworker/u4:1]
root      4784     2  0 20:41 ?        00:00:00 [kworker/u4:0]
ryanliu9  4888  3507  0 20:47 pts/17   00:00:00 ./renameProcess
ryanliu9  4889  4888  0 20:47 pts/17   00:00:00 sh -c /bin/sh -c 'ps -aef > processes.txt'
ryanliu9  4890  4889  0 20:47 pts/17   00:00:00 /bin/sh -c ps -aef > processes.txt
ryanliu9  4891  4890  0 20:47 pts/17   00:00:00 ps -aef
